School_ID,SCHOOL,Total,year,the_geom,Address,Zip,Lat,Long,GeoNetwork,COMMAREA,race,percent,SEHS
400012,AMANDLA CHTR ,325,2015,POINT (-87.63547156927478 41.77080225409796),6800 S Stewart Ave,60621,41.770802,-87.635472,11,ENGLEWOOD,Latinx,0.9,Other CPS
400012,AMANDLA CHTR ,325,2015,POINT (-87.63547156927478 41.77080225409796),6800 S Stewart Ave,60621,41.770802,-87.635472,11,ENGLEWOOD,Asian,0,Other CPS
400012,AMANDLA CHTR ,325,2015,POINT (-87.63547156927478 41.77080225409796),6800 S Stewart Ave,60621,41.770802,-87.635472,11,ENGLEWOOD,Other,3.079,Other CPS
400013,ASPIRA - EARLY COLLEGE ,508,2015,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,White,1,Other CPS
400013,ASPIRA - EARLY COLLEGE ,508,2015,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Black,2.6,Other CPS
400013,ASPIRA - EARLY COLLEGE ,508,2015,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Latinx,94.5,Other CPS
400013,ASPIRA - EARLY COLLEGE ,508,2015,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Asian,0.984,Other CPS
400013,ASPIRA - EARLY COLLEGE ,508,2015,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Other,0.9843,Other CPS
400013,ASPIRA - EARLY COLLEGE ,422,2017,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,White,1.2,Other CPS
400013,ASPIRA - EARLY COLLEGE ,422,2017,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Black,2.8,Other CPS
400013,ASPIRA - EARLY COLLEGE ,422,2017,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Latinx,92.2,Other CPS
400013,ASPIRA - EARLY COLLEGE ,422,2017,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Asian,1.185,Other CPS
400013,ASPIRA - EARLY COLLEGE ,422,2017,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Other,2.607,Other CPS
400013,ASPIRA - EARLY COLLEGE ,346,2019,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,White,1.4,Other CPS
400013,ASPIRA - EARLY COLLEGE ,346,2019,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Black,2,Other CPS
400013,ASPIRA - EARLY COLLEGE ,346,2019,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Latinx,95.1,Other CPS
400013,ASPIRA - EARLY COLLEGE ,346,2019,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Asian,0.578,Other CPS
400013,ASPIRA - EARLY COLLEGE ,346,2019,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Other,0.869,Other CPS
400013,ASPIRA - EARLY COLLEGE ,451,2016,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,White,1.1,Other CPS
400013,ASPIRA - EARLY COLLEGE ,451,2016,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Black,2.4,Other CPS
400013,ASPIRA - EARLY COLLEGE ,451,2016,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Latinx,94.5,Other CPS
400013,ASPIRA - EARLY COLLEGE ,451,2016,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Asian,0.443,Other CPS
400013,ASPIRA - EARLY COLLEGE ,451,2016,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Other,1.5525,Other CPS
400013,ASPIRA - EARLY COLLEGE ,331,2020,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,White,1.2,Other CPS
400013,ASPIRA - EARLY COLLEGE ,331,2020,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Black,2.1,Other CPS
400013,ASPIRA - EARLY COLLEGE ,331,2020,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Latinx,95.2,Other CPS
400013,ASPIRA - EARLY COLLEGE ,331,2020,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Asian,0.906,Other CPS
400013,ASPIRA - EARLY COLLEGE ,331,2020,POINT (-87.72709565821633 41.93729828458827),3986 W Barry Ave,60618,41.937298,-87.727096,4,AVONDALE,Other,0.6,Other CPS
400018,AUSTIN BUS & ENTRP ,186,2014,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,White,0,Other CPS
400018,AUSTIN BUS & ENTRP ,186,2014,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Black,100,Other CPS
400018,AUSTIN BUS & ENTRP ,186,2014,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Latinx,0,Other CPS
400018,AUSTIN BUS & ENTRP ,186,2014,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Asian,0,Other CPS
400018,AUSTIN BUS & ENTRP ,186,2014,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,Other,0,Other CPS
400018,AUSTIN BUS & ENTRP ,150,2015,POINT (-87.76189101689764 41.88420467132072),231 N Pine Ave,60644,41.884205,-87.761891,3,AUSTIN,White,0,Other CPS
